[Mon Mar 05 14:49:44.332628 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  29. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332634 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  30. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332642 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  31. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332648 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  32. call_user_func_array() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332655 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  33. Illuminate\\Session\\Middleware\\StartSession->handle() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332662 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  34. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332668 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  35. call_user_func() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332676 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  36. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332682 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  37. call_user_func_array() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
[Mon Mar 05 14:49:44.332689 2018] [:error] [pid 12489] [client 127.0.0.1:57150] PHP  38. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /home/apoorva/html/laravel/sec-report/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://lara-sec-report.b2c.com/report/1/issue/1/screenshot/create
